chr	start	end	adipocyte	endothelial_cell	colon_fibroblasts	heart_fibroblasts	dermal_fibroblast	skeletal_muscle	smooth_muscle	heart_cardiomyocyte	bone_osteoblast	oligodendrocyte	neuron	hepatocyte	pancreas_duct	pancreas_acinar	pancreas_delta	pancreas_beta	pancreas_alpha	kidney_epithelial	thyroid_epithelial	fallopian_epithelial	ovary_epithelial	erythrocyte_progenitor	T-cell	NK-cell	monocyte	granulocyte	B-cell	epiderminal_keratinocyte	head_neck_epithelial	lung_epithelial	prostate_epithelial	bladder_epithelial	breast_luminal	breast_basal	lung_alveolar_epithelial	gallbladder	gastric_epithelial	colon_epithelial	small_int_epithelial
chr2	207467122	207467578	0.89	0.94	0.85	0.92	0.78	0.87	0.86	0.97	0.91	0.94	0.93	0.95	0.95	0.80	0.96	0.95	0.95	0.81	0.07	0.75	0.69	0.76	0.89	0.94	0.95	0.96	0.88	0.95	0.88	0.94	0.97	0.95	0.96	0.96	0.94	0.99	0.96	0.95	0.96
chr2	207729766	207729936	0.95	0.96	0.90	0.91	0.95	0.95	0.92	0.85	0.92	0.95	0.95	0.97	0.96	0.96	0.95	0.96	0.99	0.98	0.24	0.98	0.95	0.73	0.93	0.96	0.96	0.94	0.95	0.95	0.93	0.95	0.96	0.96	0.98	0.97	0.12	0.96	0.96	0.95	0.94
chr2	207799268	207799869	0.95	0.94	0.89	0.92	0.91	0.93	0.87	0.96	0.91	0.96	0.96	0.11	0.88	0.75	0.92	0.95	0.91	0.78	0.95	0.97	0.90	0.83	0.95	0.97	0.97	0.97	0.96	0.94	0.95	0.93	0.97	0.96	0.98	0.98	0.94	0.06	0.94	0.97	0.96
chr2	208352381	208353045	0.95	0.95	0.96	0.88	0.96	0.95	0.90	0.94	0.90	0.96	0.96	0.90	0.80	0.04	0.90	0.91	0.94	0.87	0.96	0.98	0.87	0.82	0.96	0.99	0.97	0.95	0.97	0.92	0.97	0.98	0.91	0.97	0.93	0.97	0.94	0.72	0.82	0.97	0.94
chr2	208543484	208544048	0.84	0.87	0.87	0.58	0.75	0.90	0.66	0.96	0.68	0.94	0.96	0.78	0.97	0.87	0.80	0.66	0.89	0.15	0.93	0.89	0.94	0.79	0.89	0.92	0.95	0.95	0.91	0.85	0.89	0.94	0.89	0.84	0.94	0.95	0.95	0.85	0.87	0.94	0.94
chr2	209661896	209662345	0.88	0.95	0.90	0.92	0.90	0.94	0.78	0.95	0.86	0.81	0.15	0.80	0.97	0.96	0.96	0.93	0.97	0.95	0.97	0.96	0.88	0.62	0.88	0.91	0.93	0.94	0.93	0.95	0.89	0.94	0.92	0.89	0.97	0.97	0.94	0.96	0.92	0.86	0.90
chr2	210107464	210107785	0.92	0.94	0.92	0.87	0.94	0.83	0.87	0.96	0.91	0.95	0.96	0.96	0.96	0.95	0.96	0.97	0.96	0.95	0.94	0.97	0.96	0.76	0.94	0.95	0.76	0.16	0.94	0.94	0.94	0.97	0.96	0.97	0.96	0.96	0.96	0.91	0.96	0.96	0.96
chr2	210228608	210228785	0.94	0.90	0.88	0.86	0.87	0.94	0.84	0.95	0.79	0.96	0.96	0.97	0.96	0.96	0.95	0.95	0.94	0.58	0.05	0.88	0.93	0.70	0.85	0.91	0.95	0.95	0.88	0.93	0.94	0.96	0.97	0.96	0.97	0.97	0.88	0.95	0.97	0.93	0.94
chr2	211741914	211742493	0.93	0.86	0.82	0.72	0.86	0.89	0.74	0.98	0.69	0.88	0.81	0.79	0.95	0.84	0.11	0.28	0.66	0.96	0.97	0.96	0.75	0.57	0.88	0.92	0.92	0.94	0.91	0.86	0.92	0.96	0.93	0.92	0.95	0.97	0.95	0.95	0.89	0.74	0.66
chr2	213038215	213038396	0.96	0.93	0.73	0.93	0.92	0.95	0.92	0.95	0.91	0.96	0.97	0.96	0.97	0.94	0.97	0.97	0.97	0.98	0.97	0.96	0.96	0.71	0.81	0.79	0.94	0.97	0.11	0.93	0.97	0.97	0.98	0.97	0.98	0.97	0.97	0.94	0.96	0.95	0.84
chr2	215075945	215076279	0.77	0.80	0.79	0.08	0.61	0.80	0.38	0.93	0.60	0.85	0.74	0.70	0.88	0.59	0.85	0.82	0.83	0.89	0.91	0.97	0.93	0.49	0.79	0.88	0.88	0.88	0.85	0.89	0.91	0.97	0.94	0.88	0.95	0.95	0.92	0.95	0.83	0.88	0.89
chr2	215369574	215370324	0.87	0.84	0.83	0.66	0.87	0.85	0.79	0.84	0.68	0.90	0.93	0.84	0.73	0.63	0.22	0.64	0.58	0.93	0.87	0.93	0.94	0.65	0.94	0.97	0.95	0.93	0.96	0.91	0.83	0.82	0.81	0.80	0.98	0.98	0.89	0.75	0.77	0.94	0.93
chr2	215371831	215372284	0.90	0.90	0.92	0.82	0.93	0.90	0.88	0.96	0.48	0.96	0.87	0.77	0.97	0.93	0.95	0.95	0.95	0.97	0.95	0.96	0.95	0.70	0.95	0.97	0.84	0.88	0.95	0.89	0.92	0.93	0.92	0.97	0.34	0.07	0.96	0.94	0.96	0.97	0.96
chr2	215860679	215860858	0.90	0.95	0.83	0.95	0.89	0.84	0.91	0.94	0.91	0.94	0.96	0.96	0.97	0.90	0.95	0.96	0.96	0.95	0.94	0.97	0.94	0.80	0.86	0.82	0.14	0.38	0.86	0.94	0.94	0.97	0.97	0.89	0.97	0.99	0.96	0.94	0.97	0.97	0.96
chr2	216079274	216079557	0.67	0.94	0.93	0.93	0.92	0.92	0.88	0.97	0.91	0.97	0.94	0.05	0.97	0.94	0.97	0.94	0.97	0.64	0.89	0.96	0.94	0.86	0.95	0.96	0.92	0.89	0.95	0.93	0.96	0.97	0.97	0.96	0.96	0.96	0.96	0.87	0.96	0.96	0.90
chr2	216863105	216863321	0.68	0.82	0.58	0.08	0.82	0.78	0.34	0.97	0.74	0.79	0.91	0.96	0.82	0.92	0.96	0.95	0.96	0.92	0.56	0.95	0.93	0.72	0.74	0.88	0.78	0.86	0.66	0.83	0.93	0.92	0.93	0.91	0.96	0.94	0.91	0.91	0.93	0.84	0.88
chr2	217380077	217380274	0.97	0.97	0.94	0.94	0.95	0.94	0.94	0.95	0.97	0.98	0.86	0.96	0.97	0.97	0.97	0.99	0.99	0.94	0.95	0.94	0.91	0.76	0.97	0.98	0.97	0.97	0.95	0.89	0.97	0.97	0.91	0.93	0.80	0.09	0.96	0.87	0.96	0.94	0.61
chr2	218152365	218152642	0.93	0.93	0.86	0.81	0.88	0.91	0.80	0.85	0.74	0.94	0.93	0.89	0.93	0.87	0.88	0.89	0.91	0.95	0.96	0.97	0.92	0.64	0.90	0.94	0.97	0.97	0.88	0.10	0.11	0.71	0.84	0.78	0.83	0.64	0.94	0.91	0.92	0.92	0.89
chr2	218176952	218177307	0.94	0.96	0.92	0.89	0.91	0.95	0.88	0.97	0.81	0.94	0.93	0.96	0.96	0.95	0.94	0.93	0.95	0.97	0.96	0.98	0.94	0.72	0.94	0.97	0.97	0.98	0.95	0.87	0.92	0.96	0.98	0.96	0.73	0.20	0.97	0.97	0.98	0.97	0.96
chr2	218428097	218428494	0.86	0.88	0.82	0.73	0.80	0.88	0.72	0.90	0.75	0.91	0.95	0.97	0.92	0.90	0.89	0.90	0.91	0.91	0.86	0.87	0.89	0.80	0.87	0.94	0.95	0.95	0.90	0.84	0.58	0.15	0.82	0.69	0.92	0.96	0.72	0.76	0.88	0.91	0.86
chr2	218699875	218700049	0.89	0.95	0.91	0.92	0.91	0.80	0.88	0.96	0.90	0.93	0.95	0.96	0.98	0.94	0.94	0.95	0.94	0.96	0.96	0.98	0.95	0.74	0.94	0.94	0.18	0.46	0.94	0.96	0.96	0.96	0.97	0.97	0.97	0.97	0.95	0.96	0.96	0.97	0.95
chr2	218982605	218982963	0.03	0.07	0.11	0.05	0.09	0.06	0.04	0.02	0.06	0.06	0.24	0.08	0.05	0.10	0.72	0.91	0.39	0.07	0.06	0.07	0.14	0.04	0.13	0.08	0.06	0.06	0.11	0.11	0.11	0.07	0.17	0.11	0.13	0.16	0.06	0.05	0.08	0.12	0.14
chr2	218982968	218983306	0.09	0.18	0.10	0.18	0.27	0.15	0.15	0.05	0.09	0.08	0.36	0.10	0.08	0.20	0.77	0.95	0.37	0.10	0.07	0.10	0.20	0.04	0.16	0.11	0.11	0.09	0.15	0.13	0.15	0.12	0.24	0.15	0.26	0.34	0.10	0.06	0.14	0.22	0.21
chr2	219354146	219354308	0.89	0.87	0.84	0.73	0.84	0.92	0.68	0.77	0.80	0.94	0.96	0.86	0.92	0.63	0.93	0.94	0.90	0.91	0.89	0.87	0.90	0.01	0.85	0.90	0.94	0.95	0.87	0.89	0.88	0.90	0.92	0.88	0.94	0.96	0.82	0.88	0.83	0.91	0.90
chr2	219420275	219420874	0.92	0.92	0.90	0.92	0.92	0.48	0.90	0.08	0.90	0.96	0.97	0.93	0.95	0.83	0.97	0.97	0.97	0.93	0.93	0.96	0.93	0.69	0.91	0.94	0.96	0.96	0.92	0.90	0.91	0.91	0.95	0.94	0.95	0.96	0.90	0.94	0.92	0.94	0.92
chr2	219514274	219514650	0.03	0.03	0.06	0.02	0.13	0.04	0.07	0.01	0.06	0.02	0.03	0.06	0.06	0.09	0.02	0.04	0.01	0.05	0.08	0.01	0.03	0.00	0.04	0.02	0.01	0.01	0.05	0.05	0.04	0.03	0.10	0.02	0.57	0.79	0.03	0.04	0.03	0.04	0.03
chr2	219565889	219566272	0.91	0.92	0.83	0.83	0.92	0.84	0.80	0.84	0.83	0.92	0.91	0.97	0.95	0.91	0.86	0.90	0.88	0.96	0.94	0.95	0.95	0.56	0.81	0.89	0.94	0.94	0.82	0.92	0.91	0.89	0.93	0.96	0.97	0.94	0.94	0.90	0.93	0.86	0.10
chr2	219630074	219630409	0.87	0.86	0.86	0.88	0.91	0.86	0.86	0.06	0.84	0.93	0.84	0.90	0.93	0.90	0.93	0.95	0.97	0.95	0.95	0.96	0.95	0.74	0.90	0.93	0.95	0.95	0.91	0.91	0.92	0.92	0.94	0.92	0.96	0.90	0.94	0.89	0.91	0.84	0.80
chr2	219631163	219631361	0.89	0.88	0.86	0.91	0.89	0.89	0.88	0.08	0.89	0.94	0.91	0.89	0.96	0.90	0.96	0.96	0.95	0.96	0.94	0.98	0.96	0.71	0.89	0.95	0.94	0.96	0.90	0.95	0.94	0.95	0.96	0.95	0.96	0.94	0.90	0.87	0.89	0.83	0.82
chr2	220269941	220270222	0.85	0.86	0.83	0.76	0.80	0.59	0.79	0.98	0.70	0.92	0.90	0.90	0.97	0.91	0.61	0.02	0.88	0.88	0.95	0.97	0.94	0.50	0.84	0.91	0.93	0.91	0.88	0.93	0.95	0.98	0.97	0.92	0.94	0.97	0.96	0.93	0.92	0.92	0.89
chr2	222232057	222232212	0.86	0.87	0.79	0.74	0.86	0.90	0.59	0.98	0.77	0.94	0.96	0.90	0.91	0.84	0.57	0.33	0.01	0.64	0.94	0.74	0.87	0.65	0.89	0.93	0.94	0.94	0.83	0.69	0.87	0.93	0.92	0.89	0.87	0.94	0.96	0.92	0.92	0.88	0.81
chr2	222672790	222673209	0.92	0.93	0.88	0.86	0.90	0.91	0.84	0.96	0.87	0.93	0.94	0.92	0.96	0.93	0.94	0.95	0.93	0.95	0.90	0.97	0.74	0.75	0.89	0.93	0.96	0.96	0.92	0.90	0.93	0.97	0.96	0.94	0.97	0.96	0.91	0.09	0.95	0.92	0.90
chr2	222675502	222675943	0.93	0.91	0.86	0.84	0.91	0.90	0.84	0.96	0.86	0.94	0.96	0.97	0.96	0.94	0.94	0.93	0.91	0.96	0.93	0.91	0.94	0.76	0.92	0.95	0.96	0.97	0.87	0.94	0.92	0.93	0.96	0.94	0.94	0.96	0.93	0.15	0.96	0.96	0.94
chr2	223775882	223776379	0.93	0.93	0.90	0.85	0.93	0.90	0.86	0.97	0.89	0.95	0.95	0.96	0.95	0.93	0.90	0.94	0.94	0.96	0.94	0.04	0.72	0.65	0.94	0.97	0.96	0.95	0.96	0.95	0.92	0.94	0.97	0.95	0.95	0.96	0.94	0.93	0.95	0.95	0.95
chr2	224347824	224348314	0.86	0.85	0.75	0.78	0.86	0.87	0.71	0.84	0.75	0.86	0.94	0.87	0.87	0.69	0.32	0.09	0.79	0.82	0.94	0.86	0.89	0.57	0.77	0.89	0.93	0.95	0.84	0.89	0.85	0.88	0.90	0.82	0.95	0.97	0.90	0.87	0.84	0.86	0.70
chr2	224599837	224600152	0.92	0.91	0.86	0.82	0.92	0.93	0.74	0.96	0.14	0.96	0.97	0.96	0.96	0.87	0.95	0.96	0.95	0.95	0.81	0.96	0.95	0.69	0.90	0.94	0.95	0.97	0.89	0.88	0.92	0.94	0.88	0.89	0.93	0.97	0.87	0.94	0.93	0.87	0.93
chr2	226326502	226326835	0.93	0.91	0.89	0.90	0.94	0.90	0.88	0.96	0.86	0.94	0.95	0.96	0.96	0.85	0.95	0.95	0.93	0.32	0.95	0.78	0.92	0.68	0.88	0.94	0.96	0.93	0.91	0.95	0.93	0.95	0.95	0.97	0.96	0.95	0.96	0.94	0.95	0.94	0.95
chr2	226850076	226850466	0.96	0.94	0.92	0.89	0.95	0.93	0.89	0.96	0.88	0.69	0.91	0.88	0.94	0.85	0.90	0.93	0.95	0.96	0.88	0.97	0.92	0.83	0.95	0.96	0.97	0.94	0.96	0.91	0.90	0.57	0.93	0.93	0.89	0.92	0.05	0.92	0.88	0.93	0.94
chr2	226883335	226883963	0.73	0.91	0.91	0.87	0.79	0.93	0.83	0.97	0.85	0.94	0.94	0.97	0.93	0.94	0.75	0.86	0.86	0.84	0.96	0.96	0.94	0.89	0.95	0.98	0.97	0.96	0.95	0.93	0.97	0.98	0.97	0.96	0.97	0.95	0.96	0.65	0.76	0.87	0.14
chr2	227357611	227357915	0.86	0.93	0.94	0.87	0.82	0.83	0.84	0.92	0.72	0.91	0.90	0.97	0.96	0.92	0.89	0.87	0.89	0.95	0.95	0.93	0.89	0.79	0.95	0.98	0.97	0.97	0.95	0.92	0.80	0.22	0.95	0.95	0.96	0.94	0.88	0.95	0.95	0.95	0.94
chr2	227384283	227384437	0.83	0.82	0.83	0.53	0.82	0.39	0.68	0.79	0.61	0.77	0.86	0.86	0.95	0.82	0.87	0.86	0.90	0.93	0.90	0.90	0.89	0.69	0.87	0.89	0.96	0.93	0.96	0.86	0.90	0.89	0.89	0.93	0.82	0.84	0.81	0.90	0.91	0.93	0.09
chr2	227384442	227384612	0.91	0.89	0.90	0.63	0.91	0.55	0.82	0.74	0.71	0.95	0.96	0.91	0.95	0.88	0.92	0.92	0.94	0.96	0.93	0.95	0.94	0.73	0.94	0.93	0.97	0.94	0.96	0.91	0.95	0.94	0.93	0.97	0.95	0.95	0.88	0.87	0.91	0.94	0.06
chr2	227819481	227819868	0.94	0.92	0.86	0.89	0.90	0.88	0.86	0.86	0.84	0.94	0.96	0.93	0.84	0.75	0.77	0.71	0.57	0.08	0.53	0.72	0.60	0.58	0.93	0.93	0.95	0.75	0.94	0.94	0.88	0.94	0.96	0.90	0.96	0.98	0.87	0.86	0.62	0.96	0.94
chr2	228749521	228749761	0.95	0.93	0.90	0.95	0.93	0.93	0.90	0.96	0.93	0.95	0.96	0.93	0.95	0.89	0.92	0.93	0.94	0.97	0.97	0.94	0.90	0.71	0.93	0.96	0.95	0.95	0.95	0.91	0.91	0.57	0.94	0.94	0.92	0.96	0.18	0.95	0.91	0.91	0.95
chr2	229839089	229839367	0.96	0.96	0.96	0.93	0.94	0.93	0.92	0.92	0.90	0.96	0.96	0.98	0.96	0.70	0.89	0.88	0.92	0.97	0.96	0.96	0.96	0.88	0.96	0.97	0.97	0.96	0.94	0.97	0.92	0.92	0.93	0.94	0.96	0.96	0.76	0.93	0.13	0.93	0.95
chr2	230082551	230082714	0.89	0.91	0.90	0.76	0.85	0.90	0.50	0.97	0.80	0.96	0.94	0.96	0.95	0.92	0.93	0.94	0.93	0.96	0.97	0.97	0.95	0.69	0.89	0.95	0.96	0.97	0.93	0.15	0.89	0.95	0.95	0.92	0.98	0.97	0.97	0.94	0.96	0.96	0.93
chr2	230085304	230085510	0.67	0.90	0.84	0.67	0.69	0.60	0.69	0.91	0.62	0.66	0.77	0.85	0.85	0.65	0.81	0.85	0.79	0.93	0.82	0.90	0.92	0.61	0.87	0.89	0.62	0.03	0.89	0.67	0.87	0.87	0.87	0.77	0.90	0.91	0.77	0.84	0.90	0.94	0.92
chr2	230472154	230472423	0.95	0.93	0.71	0.90	0.89	0.88	0.87	0.93	0.91	0.92	0.94	0.97	0.96	0.96	0.92	0.95	0.93	0.90	0.91	0.95	0.96	0.89	0.87	0.96	0.85	0.96	0.22	0.92	0.95	0.95	0.94	0.92	0.96	0.94	0.96	0.95	0.95	0.96	0.95
chr2	230520419	230520663	0.94	0.93	0.92	0.88	0.88	0.89	0.86	0.93	0.87	0.91	0.94	0.04	0.90	0.90	0.88	0.88	0.86	0.94	0.92	0.95	0.93	0.79	0.96	0.97	0.96	0.98	0.95	0.93	0.92	0.95	0.95	0.94	0.95	0.93	0.94	0.83	0.94	0.94	0.95
chr2	230739525	230739839	0.97	0.96	0.96	0.94	0.97	0.94	0.93	0.97	0.74	0.91	0.96	0.96	0.96	0.86	0.97	0.96	0.97	0.84	0.96	0.93	0.87	0.91	0.94	0.97	0.97	0.96	0.95	0.92	0.90	0.88	0.69	0.17	0.81	0.96	0.88	0.92	0.84	0.80	0.92
chr2	230880289	230880570	0.92	0.93	0.87	0.87	0.88	0.93	0.82	0.96	0.78	0.94	0.92	0.97	0.97	0.93	0.97	0.96	0.96	0.86	0.95	0.97	0.96	0.71	0.95	0.95	0.97	0.95	0.94	0.93	0.95	0.95	0.97	0.96	0.97	0.98	0.96	0.94	0.96	0.12	0.68
chr2	231127596	231128039	0.95	0.96	0.93	0.97	0.95	0.95	0.95	0.97	0.97	0.96	0.97	0.97	0.94	0.97	0.95	0.91	0.96	0.83	0.97	0.92	0.95	0.90	0.97	0.97	0.98	0.97	0.96	0.92	0.93	0.95	0.64	0.19	0.98	0.97	0.96	0.90	0.88	0.71	0.73
chr2	231144990	231145283	0.97	0.97	0.93	0.95	0.95	0.96	0.94	0.97	0.97	0.97	0.97	0.97	0.96	0.94	0.85	0.81	0.67	0.28	0.96	0.92	0.90	0.91	0.97	0.98	0.98	0.97	0.97	0.96	0.92	0.95	0.98	0.97	0.97	0.98	0.96	0.95	0.95	0.94	0.96
chr2	231170520	231170726	0.87	0.94	0.80	0.93	0.88	0.94	0.90	0.96	0.91	0.95	0.89	0.97	0.96	0.88	0.91	0.85	0.94	0.97	0.95	0.97	0.97	0.87	0.96	0.96	0.95	0.92	0.95	0.93	0.94	0.83	0.91	0.95	0.96	0.94	0.23	0.91	0.88	0.91	0.95
chr2	231235265	231235768	0.91	0.93	0.88	0.89	0.93	0.87	0.85	0.96	0.66	0.95	0.96	0.96	0.96	0.90	0.91	0.91	0.91	0.95	0.96	0.96	0.92	0.07	0.90	0.94	0.95	0.96	0.94	0.94	0.93	0.93	0.96	0.94	0.96	0.95	0.93	0.93	0.94	0.84	0.92
chr2	231284683	231285069	0.95	0.95	0.93	0.93	0.94	0.93	0.90	0.97	0.86	0.91	0.96	0.96	0.96	0.94	0.94	0.94	0.94	0.64	0.95	0.97	0.95	0.81	0.91	0.93	0.97	0.99	0.95	0.94	0.92	0.95	0.95	0.93	0.97	0.96	0.96	0.91	0.91	0.90	0.13
chr2	231285443	231285743	0.94	0.94	0.91	0.92	0.94	0.89	0.91	0.96	0.89	0.96	0.97	0.96	0.97	0.96	0.95	0.93	0.96	0.72	0.95	0.92	0.96	0.53	0.90	0.94	0.97	0.97	0.96	0.83	0.92	0.95	0.97	0.93	0.92	0.95	0.97	0.84	0.94	0.85	0.18
chr2	231342385	231342796	0.75	0.88	0.68	0.85	0.86	0.72	0.87	0.94	0.73	0.89	0.94	0.92	0.98	0.97	0.96	0.98	0.98	0.96	0.88	0.95	0.94	0.75	0.85	0.88	0.14	0.16	0.75	0.89	0.89	0.90	0.95	0.91	0.96	0.96	0.94	0.96	0.94	0.97	0.96
chr2	231360279	231360690	0.92	0.94	0.87	0.85	0.88	0.87	0.84	0.82	0.57	0.88	0.88	0.92	0.91	0.85	0.84	0.93	0.91	0.97	0.86	0.91	0.95	0.70	0.86	0.91	0.94	0.91	0.94	0.81	0.83	0.75	0.86	0.90	0.61	0.83	0.86	0.34	0.02	0.93	0.93
chr2	231374770	231375418	0.87	0.91	0.83	0.79	0.91	0.92	0.73	0.97	0.65	0.79	0.94	0.93	0.95	0.76	0.94	0.96	0.95	0.89	0.96	0.98	0.93	0.41	0.82	0.92	0.95	0.95	0.93	0.83	0.88	0.92	0.96	0.94	0.81	0.93	0.96	0.82	0.08	0.97	0.93
chr2	231398436	231398671	0.94	0.94	0.91	0.95	0.93	0.93	0.93	0.94	0.80	0.96	0.96	0.97	0.96	0.81	0.96	0.98	0.98	0.97	0.97	0.97	0.97	0.86	0.94	0.80	0.96	0.94	0.97	0.94	0.95	0.94	0.97	0.97	0.97	0.97	0.95	0.02	0.95	0.87	0.97
chr2	231398733	231399211	0.96	0.96	0.93	0.93	0.95	0.96	0.90	0.94	0.81	0.93	0.96	0.97	0.96	0.77	0.97	0.98	0.98	0.97	0.95	0.97	0.97	0.87	0.90	0.95	0.96	0.96	0.96	0.92	0.94	0.92	0.97	0.97	0.97	0.95	0.92	0.03	0.92	0.88	0.94
chr2	231408038	231408424	0.87	0.90	0.90	0.84	0.90	0.87	0.77	0.95	0.87	0.92	0.91	0.89	0.68	0.03	0.93	0.94	0.95	0.93	0.95	0.96	0.93	0.65	0.89	0.94	0.94	0.95	0.91	0.77	0.75	0.94	0.96	0.93	0.87	0.88	0.94	0.20	0.90	0.90	0.83
chr2	231528111	231528316	0.93	0.94	0.87	0.87	0.89	0.88	0.88	0.98	0.86	0.84	0.94	0.94	0.93	0.59	0.90	0.92	0.90	0.83	0.69	0.69	0.89	0.72	0.94	0.23	0.96	0.96	0.91	0.81	0.87	0.88	0.87	0.89	0.87	0.91	0.90	0.92	0.89	0.92	0.88
chr2	231528485	231529106	0.94	0.94	0.87	0.90	0.92	0.84	0.88	0.97	0.90	0.90	0.95	0.96	0.96	0.90	0.95	0.96	0.95	0.96	0.91	0.95	0.95	0.71	0.92	0.10	0.94	0.83	0.90	0.90	0.92	0.91	0.94	0.93	0.92	0.93	0.91	0.94	0.94	0.93	0.89
chr2	231654213	231654399	0.93	0.95	0.92	0.83	0.94	0.93	0.85	0.98	0.88	0.97	0.97	0.94	0.97	0.76	0.95	0.96	0.96	0.96	0.94	0.96	0.95	0.70	0.94	0.98	0.96	0.98	0.95	0.89	0.95	0.96	0.96	0.95	0.97	0.97	0.91	0.96	0.14	0.95	0.93
chr2	231725473	231725660	0.95	0.94	0.88	0.86	0.87	0.82	0.82	0.96	0.84	0.94	0.94	0.94	0.89	0.78	0.63	0.50	0.78	0.94	0.93	0.95	0.88	0.76	0.93	0.94	0.97	0.94	0.93	0.90	0.87	0.92	0.96	0.87	0.96	0.98	0.92	0.90	0.85	0.90	0.12
chr2	232332915	232333087	0.84	0.84	0.79	0.77	0.81	0.81	0.67	0.93	0.67	0.66	0.80	0.92	0.93	0.91	0.90	0.80	0.95	0.81	0.85	0.01	0.69	0.64	0.86	0.88	0.87	0.82	0.88	0.87	0.75	0.78	0.89	0.81	0.92	0.56	0.87	0.80	0.84	0.83	0.73
chr2	232750423	232751065	0.90	0.89	0.84	0.84	0.75	0.81	0.85	0.82	0.81	0.93	0.92	0.93	0.87	0.06	0.87	0.85	0.88	0.91	0.94	0.93	0.96	0.81	0.94	0.95	0.96	0.97	0.93	0.85	0.87	0.89	0.88	0.90	0.78	0.86	0.89	0.86	0.70	0.87	0.81
chr2	233122020	233122279	0.84	0.84	0.77	0.63	0.69	0.80	0.58	0.90	0.59	0.91	0.94	0.91	0.81	0.61	0.70	0.83	0.76	0.82	0.79	0.86	0.72	0.85	0.94	0.90	0.96	0.95	0.89	0.45	0.58	0.71	0.71	0.68	0.05	0.67	0.77	0.87	0.77	0.86	0.81
chr2	233242913	233243096	0.85	0.94	0.94	0.91	0.93	0.88	0.91	0.97	0.92	0.95	0.92	0.93	0.97	0.92	0.92	0.95	0.91	0.96	0.96	0.96	0.95	0.90	0.97	0.96	0.15	0.63	0.94	0.94	0.97	0.97	0.97	0.97	0.96	0.96	0.95	0.97	0.95	0.98	0.97
chr2	233257861	233258107	0.97	0.96	0.95	0.95	0.96	0.85	0.92	0.97	0.96	0.96	0.95	0.97	0.98	0.96	0.96	0.97	0.98	0.96	0.95	0.98	0.96	0.91	0.96	0.97	0.96	0.29	0.97	0.94	0.97	0.96	0.98	0.96	0.94	0.97	0.97	0.95	0.97	0.97	0.98
chr2	233268343	233268653	0.82	0.85	0.79	0.77	0.92	0.85	0.87	0.91	0.94	0.56	0.92	0.95	0.97	0.94	0.88	0.92	0.92	0.96	0.95	0.97	0.95	0.85	0.04	0.16	0.89	0.65	0.86	0.88	0.90	0.97	0.96	0.95	0.45	0.93	0.92	0.94	0.86	0.94	0.92
chr2	233440493	233440985	0.89	0.92	0.91	0.91	0.89	0.74	0.88	0.73	0.91	0.90	0.75	0.95	0.93	0.88	0.88	0.92	0.92	0.92	0.94	0.91	0.92	0.69	0.93	0.93	0.96	0.96	0.92	0.89	0.88	0.89	0.89	0.92	0.91	0.95	0.89	0.91	0.10	0.88	0.88
chr2	233445069	233445560	0.96	0.95	0.93	0.90	0.93	0.85	0.90	0.06	0.94	0.95	0.81	0.96	0.96	0.94	0.92	0.92	0.92	0.96	0.97	0.97	0.96	0.68	0.95	0.96	0.96	0.88	0.97	0.93	0.92	0.93	0.95	0.92	0.97	0.96	0.95	0.91	0.75	0.95	0.95
chr2	233695366	233695872	0.93	0.94	0.88	0.89	0.90	0.95	0.79	0.97	0.85	0.95	0.96	0.80	0.96	0.90	0.92	0.93	0.92	0.73	0.95	0.95	0.96	0.73	0.88	0.92	0.95	0.97	0.88	0.92	0.84	0.70	0.87	0.18	0.97	0.98	0.78	0.93	0.84	0.92	0.94
chr2	233762105	233762456	0.88	0.89	0.89	0.81	0.87	0.89	0.75	0.93	0.77	0.93	0.94	0.38	0.94	0.77	0.84	0.84	0.82	0.77	0.93	0.86	0.92	0.61	0.89	0.93	0.94	0.94	0.93	0.84	0.86	0.95	0.91	0.22	0.90	0.94	0.93	0.97	0.97	0.97	0.93
chr2	234287677	234288190	0.94	0.93	0.86	0.94	0.89	0.95	0.90	0.91	0.88	0.97	0.96	0.93	0.95	0.82	0.93	0.94	0.91	0.93	0.96	0.93	0.81	0.62	0.97	0.97	0.95	0.94	0.93	0.95	0.95	0.93	0.94	0.96	0.92	0.98	0.89	0.95	0.91	0.04	0.46
chr2	234792520	234792770	0.73	0.85	0.77	0.93	0.53	0.78	0.82	0.97	0.07	0.67	0.71	0.97	0.97	0.95	0.96	0.95	0.94	0.94	0.93	0.94	0.90	0.72	0.92	0.96	0.96	0.97	0.94	0.93	0.94	0.97	0.97	0.94	0.97	0.97	0.95	0.96	0.95	0.96	0.96
chr2	234985690	234986026	0.96	0.96	0.89	0.96	0.96	0.93	0.95	0.96	0.95	0.96	0.97	0.97	0.96	0.88	0.95	0.94	0.97	0.96	0.96	0.97	0.96	0.67	0.86	0.91	0.96	0.96	0.88	0.93	0.94	0.95	0.91	0.95	0.97	0.97	0.95	0.90	0.86	0.78	0.06
chr2	235224297	235224627	0.95	0.94	0.91	0.79	0.93	0.91	0.74	0.93	0.18	0.98	0.97	0.89	0.97	0.85	0.89	0.92	0.90	0.96	0.95	0.97	0.97	0.54	0.86	0.91	0.93	0.92	0.90	0.86	0.93	0.95	0.95	0.92	0.96	0.97	0.94	0.95	0.93	0.96	0.96
