chromosome	start	end	Monocytes_EPIC	B-cells_EPIC	CD4T-cells_EPIC	NK-cells_EPIC	CD8T-cells_EPIC	Neutrophils_EPIC	Erythrocyte_progenitors	Adipocytes	Cortical_neurons	Hepatocytes	Lung_cells	Pancreatic_beta_cells	Pancreatic_acinar_cells	Pancreatic_duct_cells	Vascular_endothelial_cells	Colon_epithelial_cells	Left_atrium	Bladder	Breast	Head_and_neck_larynx	Kidney	Prostate	Thyroid	Upper_GI	Uterus_cervix
chr4	44449509	44449510	0.0794	0.1263	0.1183	0.0734	0.1512	0.0801	0.1762	0.0658	0.053	0.0156	0.0466	0.01495	0.02	0.005	0.0422	0.0551	0.0727	0.0452	0.0456	0.0197	0.0368	0.0334	0.0347	0.0417	0.031
chr4	48134217	48134218	0.8212	0.8393	0.1262	0.0851	0.2376	0.7432	0.8868	0.7209	0.7141	0.8659	0.8416	0.83765	0.8606	0.8644	0.739	0.8611	0.6673	0.7072	0.8333	0.7501	0.8217	0.7986	0.521	0.7365	0.7863
chr4	48134263	48134264	0.8637	0.8977	0.1199	0.0737	0.239	0.762	0.9375	0.8437	0.8427	0.9278	0.9033	0.9174	0.9049	0.9261	0.8519	0.9266	0.843	0.8447	0.9108	0.8692	0.9086	0.8929	0.818	0.8531	0.9073
chr4	48134435	48134436	0.9066	0.9109	0.1177	0.0706	0.2621	0.8975	0.9263	0.9036	0.9091	0.9189	0.9058	0.91115	0.9019	0.9261	0.9018	0.9204	0.9278	0.8772	0.913	0.8884	0.9119	0.9051	0.9044	0.8673	0.9142
chr4	48490208	48490209	0.011	0.0286	0.0126	0.0089	0.0213	0.0079	0.0006	0.2574	0.1593	0.1069	0.1528	0.0162	0.0274	0.0039	0.0118	0.009	0.0239	0.0411	0.1013	0.0269	0.0381	0.0627	0.0412	0.0712	0.0433
chr4	48490287	48490288	0.026	0.0957	0.0526	0.0229	0.086	0.02	0.0149	0.3507	0.2678	0.3703	0.2353	0.0481	0.1666	0.028	0.0522	0.008	0.0255	0.0734	0.1576	0.0784	0.0963	0.1011	0.0837	0.1686	0.1016
chr4	48490327	48490328	0.011	0.0516	0.0228	0.0116	0.0326	0.009	0.0084	0.2083	0.2027	0.171	0.1581	0.00735	0.0872	0.017	0.0302	0.0119	0.0038	0.0142	0.0403	0.0077	0.0119	0.0271	0.019	0.0425	0.0284
chr4	52712192	52712193	0.1741	0.167	0.0575	0.1783	0.0474	0.1678	0.0732	0.0305	0.0108	0.1157	0.3453	0.061825	0.0367	0.0772	0.1424	0.0133	0.0172	0.0357	0.0227	0.0363	0.0578	0.0781	0.2117	0.0664	0.0861
chr4	53508082	53508083	0.9294	0.894	0.8885	0.8999	0.8875	0.9095	0.9728	0.201	0.6586	0.3497	0.8723	0.721825	0.9114	0.6002	0.2146	0.9406	0.4486	0.8463	0.5967	0.7399	0.5302	0.8866	0.767	0.405	0.812
chr4	54099696	54099697	0.0078	0.0106	0.0053	0.005	0.0149	0.0081	0.0071	0.1108	0.1786	0.0029	0.0018	0.016775	0.0128	0.0077	0.1033	0.0258	0.0274	0.008	0.0267	0.0696	0.0087	0.0712	0.0064	0.009	0.0254
chr4	54099737	54099738	0.0508	0.0669	0.0794	0.0508	0.0818	0.0442	0.0431	0.1565	0.2156	0.0559	0.0506	0.11745	0.0827	0.0671	0.1625	0.0857	0.083	0.0857	0.0902	0.1585	0.0932	0.1402	0.1054	0.0865	0.1423
chr4	55345905	55345906	0.0422	0.0478	0.0522	0.0474	0.0548	0.0416	0.0445	0.0399	0.045	0.0719	0.036	0.048525	0.0512	0.0398	0.0489	0.0471	0.0558	0.0469	0.0656	0.0671	0.0855	0.0568	0.2594	0.0403	0.0694
chr4	56655491	56655492	0.102	0.1074	0.2048	0.1074	0.143	0.1124	0.0432	0.0594	0.1107	0.1037	0.5814	0.077875	0.1149	0.1096	0.1159	0.1199	0.0864	0.1312	0.0703	0.0512	0.0439	0.0716	0.1067	0.051	0.0566
chr4	56655979	56655980	0.0512	0.0569	0.0669	0.0457	0.0518	0.0473	0.0394	0.0766	0.0558	0.117	0.5265	0.0675	0.0942	0.0721	0.0718	0.0564	0.0416	0.1145	0.0873	0.0651	0.092	0.072	0.0651	0.0738	0.0763
chr4	56656466	56656467	0.0396	0.0352	0.0474	0.0346	0.037	0.0332	0.0239	0.0897	0.0514	0.0661	0.4958	0.12095	0.1024	0.0439	0.0912	0.2347	0.0738	0.1238	0.1699	0.0832	0.0979	0.2288	0.2635	0.1787	0.1859
chr4	61202581	61202582	0.0056	0.0231	0.0051	0.0061	0.0122	0.0038	0.0126	0.0122	0.0071	0.0142	0.0084	0.0125	0.0063	0.0067	0.0084	0.3254	0.0093	0.0141	0.0093	0.0101	0.0091	0.0105	0.0141	0.022	0.0161
chr4	65670468	65670469	0.0162	0.2079	0.0458	0.0294	0.1724	0.0066	0.0014	0.0081	0.0038	0.006	0.0096	0.00635	0.0026	0.0041	0.0161	0.0064	0.0149	0.0421	0.0277	0.0398	0.0171	0.0233	0.0208	0.0597	0.0256
chr4	68569532	68569533	0.5041	0.6841	0.5464	0.7062	0.4654	0.507	0.8306	0.7376	0.7299	0.7497	0.7756	0.772075	0.3171	0.3405	0.5976	0.6792	0.0102	0.7991	0.717	0.7668	0.6622	0.7398	0.7221	0.5461	0.8032
chr4	71190492	71190493	0.8858	0.9111	0.9016	0.9044	0.9125	0.8343	0.9263	0.8848	0.8854	0.9143	0.8759	0.810975	0.857	0.1695	0.8937	0.8864	0.9173	0.9261	0.9141	0.9371	0.9094	0.9245	0.931	0.8977	0.933
chr4	71201418	71201419	0.8958	0.8563	0.8591	0.8868	0.8998	0.8829	0.9394	0.6992	0.9068	0.8878	0.7732	0.7483	0.7777	0.1297	0.8667	0.8553	0.8248	0.8604	0.8754	0.8582	0.8409	0.8911	0.8788	0.7903	0.7978
chr4	71204950	71204951	0.9085	0.906	0.8969	0.6308	0.8932	0.8925	0.9262	0.7983	0.8852	0.9081	0.9126	0.71945	0.8501	0.2357	0.83	0.9271	0.8121	0.8361	0.8957	0.8997	0.8897	0.9159	0.9137	0.8556	0.9012
chr4	71269817	71269818	0.8776	0.8714	0.8295	0.8913	0.8826	0.8627	0.8783	0.8839	0.8343	0.8579	0.882	0.7353	0.8154	0.3002	0.8789	0.9034	0.9241	0.911	0.896	0.9145	0.9066	0.9204	0.9194	0.902	0.9217
chr4	74099509	74099510	0.029	0.1645	0.0481	0.0338	0.1176	0.0208	0.0035	0.0068	0.0388	0.0091	0.0076	0.00565	0.0365	0.0099	0.0286	0.0065	0.0069	0.0189	0.0159	0.0322	0.0231	0.0207	0.0286	0.0298	0.0355
chr4	74099545	74099546	0.0677	0.2582	0.1678	0.1129	0.2908	0.0628	0.0564	0.1053	0.1647	0.0575	0.0708	0.147225	0.1843	0.0808	0.0791	0.0549	0.1213	0.1664	0.1484	0.1768	0.1774	0.1476	0.1895	0.1381	0.1859
chr4	74308363	74308364	0.852	0.8926	0.2397	0.6314	0.5824	0.8414	0.7607	0.6893	0.8288	0.8729	0.8258	0.90605	0.7858	0.7966	0.6964	0.8712	0.8604	0.5859	0.5501	0.5373	0.8149	0.3389	0.8979	0.8448	0.8688
chr4	76732190	76732191	0.909	0.9068	0.8674	0.8891	0.8712	0.904	0.9198	0.8988	0.8585	0.9088	0.8927	0.889475	0.8632	0.8937	0.8396	0.894	0.8456	0.9132	0.9114	0.909	0.8859	0.901	0.9074	0.5571	0.8814
chr4	76898381	76898382	0.0123	0.0303	0.0155	0.0121	0.0186	0.0154	0.016	0.0379	0.2648	0.0185	0.0149	0.0154	0.0256	0.0142	0.3842	0.0299	0.1263	0.0292	0.0362	0.0524	0.0331	0.0305	0.0128	0.0709	0.0749
chr4	76898421	76898422	0.0469	0.059	0.043	0.0462	0.0529	0.0433	0.026	0.0883	0.223	0.0396	0.0449	0.063975	0.0467	0.037	0.2841	0.0316	0.1352	0.0716	0.0883	0.0937	0.0669	0.0715	0.0614	0.0895	0.1114
chr4	76898535	76898536	0.0543	0.0665	0.093	0.0466	0.0828	0.0523	0.069	0.2221	0.4313	0.0421	0.0419	0.057175	0.0493	0.0207	0.4746	0.0363	0.2637	0.1565	0.2151	0.187	0.145	0.1544	0.1027	0.1873	0.2386
chr4	79408293	79408294	0.8456	0.8288	0.8086	0.8229	0.8301	0.8282	0.8812	0.8355	0.7894	0.6198	0.8368	0.804775	0.7198	0.7811	0.7857	0.7327	0.8384	0.8978	0.8702	0.8918	0.8768	0.8925	0.8687	0.8328	0.8723
chr4	79408327	79408328	0.8924	0.891	0.886	0.8708	0.8886	0.8909	0.9244	0.8785	0.8829	0.6339	0.8801	0.8437	0.8171	0.8688	0.8591	0.8472	0.9053	0.9073	0.8976	0.8955	0.894	0.8965	0.8901	0.8595	0.8992
chr4	79408329	79408330	0.9714	0.9704	0.9653	0.9611	0.9686	0.9695	0.9873	0.9703	0.9583	0.7466	0.9667	0.965925	0.9415	0.9695	0.9536	0.9652	0.9812	0.9863	0.982	0.9865	0.9844	0.9838	0.9833	0.9858	0.9803
chr4	79408332	79408333	0.9754	0.9778	0.9753	0.9736	0.9764	0.9732	0.987	0.9803	0.9781	0.7366	0.9794	0.967925	0.9589	0.975	0.974	0.9705	0.9849	0.9841	0.9814	0.9823	0.9839	0.9797	0.9813	0.9751	0.9793
chr4	79652079	79652080	0.895	0.9094	0.8985	0.8875	0.8961	0.9122	0.8792	0.8774	0.8606	0.5758	0.6158	0.751875	0.6159	0.56	0.3266	0.8385	0.8448	0.8148	0.8951	0.9018	0.878	0.6845	0.9065	0.7644	0.7906
chr4	80073396	80073397	0.0547	0.0487	0.0669	0.0542	0.0669	0.0499	0.0233	0.0593	0.3134	0.0704	0.0545	0.64055	0.1039	0.102	0.063	0.042	0.0471	0.0499	0.0725	0.057	0.1688	0.0556	0.0623	0.0631	0.0618
chr4	80202459	80202460	0.0102	0.013	0.0085	0.0133	0.0089	0.011	0.0097	0.021	0.1273	0.0202	0.0301	0.02085	0.0149	0.0211	0.02	0.008	0.014	0.015	0.1512	0.0124	0.0112	0.0798	0.0118	0.0196	0.0297
chr4	80202967	80202968	0.0202	0.0215	0.0237	0.0202	0.0181	0.0183	0.0088	0.0477	0.1779	0.0294	0.0692	0.037575	0.0297	0.0302	0.0289	0.0203	0.0218	0.0143	0.248	0.0324	0.0199	0.1234	0.0201	0.0236	0.0405
chr4	82402432	82402433	0.9234	0.9266	0.9256	0.917	0.9232	0.9166	0.9661	0.9675	0.8912	0.8993	0.6183	0.948025	0.908	0.952	0.9338	0.9295	0.917	0.96	0.9607	0.9284	0.9634	0.9683	0.3744	0.9656	0.9625
chr4	84502149	84502150	0.0766	0.0982	0.0954	0.0692	0.0975	0.0692	0.0487	0.0697	0.0894	0.0467	0.1123	0.758925	0.3344	0.8104	0.0627	0.1447	0.0576	0.1172	0.167	0.1282	0.0931	0.1283	0.1926	0.1382	0.1052
chr4	85930246	85930247	0.0765	0.2602	0.1175	0.0839	0.0945	0.0962	0.0539	0.1166	0.3413	0.0622	0.066	0.088125	0.0708	0.0403	0.21	0.049	0.2314	0.3286	0.234	0.4639	0.1025	0.3288	0.1008	0.2604	0.2275
chr4	85930258	85930259	0.0533	0.2507	0.1046	0.0632	0.0748	0.0803	0.0565	0.0725	0.276	0.0414	0.0415	0.058275	0.0468	0.03	0.121	0.0322	0.1188	0.2613	0.1578	0.4298	0.0618	0.2538	0.0677	0.1999	0.1466
chr4	85930272	85930273	0.053	0.2459	0.0954	0.067	0.0573	0.0754	0.0569	0.2291	0.3045	0.0466	0.0488	0.065275	0.045	0.0424	0.2708	0.0347	0.2982	0.2874	0.2486	0.4225	0.0898	0.2931	0.0938	0.2149	0.2203
chr4	87017680	87017681	0.9088	0.9036	0.8772	0.9002	0.91	0.8858	0.1488	0.8924	0.7483	0.8689	0.8878	0.872675	0.8172	0.8717	0.7889	0.9117	0.7684	0.932	0.8835	0.9072	0.8591	0.9119	0.9141	0.8719	0.8461
chr4	88739086	88739087	0.9634	0.9673	0.9672	0.9673	0.9652	0.9658	0.9346	0.9604	0.9487	0.9609	0.8983	0.95425	0.7884	0.9513	0.9476	0.9454	0.9481	0.9133	0.9563	0.9602	0.9561	0.9544	0.956	0.7258	0.9536
chr4	99653298	99653299	0.9715	0.9715	0.9708	0.9656	0.9717	0.9607	0.9777	0.9752	0.9204	0.9626	0.977	0.950325	0.9655	0.9736	0.9645	0.9728	0.9782	0.9725	0.9779	0.8365	0.434	0.9637	0.9781	0.97	0.9002
chr4	99653439	99653440	0.9682	0.9542	0.9502	0.9538	0.9399	0.9621	0.9872	0.9588	0.8883	0.8774	0.9766	0.8502	0.9292	0.9537	0.9533	0.9745	0.9652	0.9778	0.9576	0.9018	0.5496	0.9409	0.9747	0.9506	0.9619
chr4	99953669	99953670	0.2759	0.927	0.9265	0.9201	0.9299	0.0603	0.8774	0.885	0.9036	0.9052	0.8974	0.940225	0.9172	0.9323	0.8696	0.921	0.9334	0.9458	0.9275	0.9397	0.9258	0.9447	0.9394	0.9149	0.9334
chr4	101791059	101791060	0.0132	0.0139	0.0726	0.0234	0.1032	0.0169	0.0298	0.0978	0.142	0.0496	0.0957	0.058275	0.0494	0.1044	0.0676	0.0542	0.0772	0.137	0.4884	0.1984	0.0434	0.1979	0.0899	0.0818	0.1761
chr4	101813595	101813596	0.8873	0.118	0.8832	0.8329	0.8926	0.8674	0.8978	0.8952	0.8367	0.745	0.8212	0.8813	0.838	0.8697	0.8624	0.8834	0.9064	0.8716	0.8999	0.9166	0.8845	0.9062	0.9074	0.8579	0.9002
chr4	101956975	101956976	0.8906	0.9042	0.8626	0.88	0.877	0.8416	0.228	0.8626	0.8886	0.6703	0.8757	0.851575	0.7561	0.887	0.799	0.8876	0.7493	0.8538	0.9007	0.8686	0.8894	0.8545	0.8866	0.8293	0.8649
chr4	103076295	103076296	0.0202	0.0163	0.0192	0.0175	0.0176	0.0188	0.0077	0.0094	0.0147	0.0112	0.0412	0.022825	0.0152	0.0633	0.0181	0.0175	0.0138	0.0094	0.0104	0.0109	0.1677	0.0105	0.0238	0.0116	0.0088
chr4	103076730	103076731	0.0146	0.017	0.0177	0.0164	0.0128	0.0156	0.0102	0.0151	0.0196	0.0181	0.054	0.035	0.0254	0.086	0.0208	0.0193	0.0188	0.0059	0.0156	0.0132	0.1882	0.0139	0.0462	0.0122	0.0117
chr4	103076812	103076813	0.0059	0.0093	0.0076	0.0052	0.0072	0.0087	0.0173	0.0335	0.0233	0.0135	0.108	0.062275	0.0264	0.1606	0.0051	0.0136	0.0399	0.0221	0.0215	0.0241	0.1867	0.0242	0.0591	0.0266	0.0273
chr4	108171568	108171569	0.0712	0.0545	0.0409	0.0462	0.0484	0.0644	0.0563	0.1939	0.0733	0.0908	0.1979	0.109725	0.1005	0.0789	0.1432	0.1682	0.1362	0.1602	0.2577	0.2414	0.1345	0.4149	0.1596	0.1531	0.1779
chr4	108171613	108171614	0.0198	0.0053	0.006	0.0084	0.0108	0.0207	0.057	0.1324	0.0483	0.0174	0.1414	0.0102333333333333	0.0837	0.0736	0.0566	0.1048	0.0344	0.0554	0.1471	0.1512	0.039	0.4935	0.0953	0.0397	0.1135
chr4	110618196	110618197	0.0266	0.0751	0.0412	0.0358	0.0606	0.0253	0.0146	0.3591	0.0265	0.0257	0.0225	0.01695	0.0191	0.0291	0.1056	0.0148	0.1333	0.099	0.1866	0.0365	0.0144	0.1092	0.0145	0.0586	0.0553
chr4	110621288	110621289	0.1981	0.3345	0.2956	0.2147	0.3545	0.186	0.1723	0.4484	0.1731	0.1861	0.3396	0.229175	0.2276	0.2112	0.3234	0.1288	0.2096	0.3034	0.4038	0.2413	0.2428	0.3114	0.2432	0.3343	0.2878
chr4	110621317	110621318	0.0288	0.1126	0.0489	0.0322	0.0861	0.0249	0.0154	0.4429	0.0312	0.0411	0.0978	0.046375	0.056	0.045	0.1937	0.021	0.1219	0.1879	0.2502	0.0626	0.0458	0.115	0.0631	0.1498	0.086
chr4	117085463	117085464	0.0239	0.213	0.0733	0.1039	0.134	0.0369	0.0112	0.0162	0.0243	0.0176	0.0097	0.0083	0.0211	0.0169	0.0293	0.0651	0.0331	0.0126	0.0291	0.0236	0.023	0.0241	0.0219	0.0369	0.0217
chr4	118278466	118278467	0.0492	0.0456	0.056	0.0482	0.0448	0.0443	0.0213	0.0626	0.0685	0.0522	0.0529	0.08715	0.0487	0.0397	0.1001	0.2314	0.0634	0.0521	0.0673	0.0658	0.0586	0.0718	0.0724	0.0595	0.1163
chr4	118278491	118278492	0.0098	0.0114	0.018	0.0074	0.008	0.0082	0.0037	0.0119	0.0165	0.0068	0.0111	0.009775	0.0103	0.0135	0.1111	0.2572	0.0111	0.0119	0.0108	0.0134	0.016	0.0128	0.017	0.0164	0.0457
chr4	119027350	119027351	0.8438	0.8649	0.8382	0.8264	0.8485	0.8495	0.8926	0.4469	0.7296	0.8128	0.8721	0.817675	0.8421	0.8326	0.5082	0.8792	0.446	0.7452	0.6529	0.7419	0.738	0.7641	0.8078	0.718	0.46
chr4	119027387	119027388	0.9808	0.9793	0.98	0.9781	0.9823	0.9814	0.9866	0.6031	0.9481	0.9803	0.9808	0.978975	0.9686	0.9794	0.6102	0.9818	0.7425	0.8649	0.7006	0.9003	0.8798	0.8833	0.9651	0.848	0.5647
chr4	121696152	121696153	0.0331	0.0868	0.1594	0.269	0.2418	0.0378	0.0315	0.0278	0.1438	0.25	0.0228	0.032025	0.028	0.0201	0.031	0.0247	0.0549	0.0612	0.0397	0.0329	0.0495	0.0326	0.0624	0.0315	0.0308
chr4	121765114	121765115	0.0529	0.1296	0.0709	0.0564	0.0596	0.0513	0.0504	0.0662	0.0731	0.0777	0.0544	0.087675	0.0645	0.0641	0.0792	0.3306	0.0503	0.135	0.0939	0.0956	0.0775	0.1166	0.0781	0.128	0.0738
chr4	121765164	121765165	0.0064	0.068	0.0051	0.0056	0.0043	0.0035	0.0035	0.0023	0.0019	0.0031	0.0032	0.002175	0.0024	0.0034	0.0019	0.2344	0.0	0.0357	0.0118	0.009	0.0026	0.015	0.0031	0.0211	0.0009
chr4	123555539	123555540	0.055	0.2474	0.4531	0.7345	0.6383	0.0492	0.1217	0.084	0.577	0.0476	0.0777	0.382825	0.0846	0.0678	0.0954	0.0469	0.2661	0.1548	0.122	0.1792	0.1085	0.1264	0.1174	0.1792	0.1937
chr4	128553439	128553440	0.0501	0.0701	0.0612	0.0634	0.0718	0.0457	0.0488	0.1144	0.5231	0.1096	0.0585	0.07835	0.0577	0.0392	0.0612	0.0639	0.15	0.0686	0.1004	0.1962	0.0537	0.0564	0.1192	0.0528	0.0554
chr4	128553463	128553464	0.0237	0.0446	0.0347	0.0375	0.0393	0.0276	0.0205	0.0323	0.5308	0.0633	0.0572	0.009625	0.0208	0.0254	0.0688	0.0279	0.0537	0.0076	0.0186	0.0642	0.0058	0.0047	0.0296	0.0119	0.0084
chr4	138242626	138242627	0.0288	0.0318	0.0431	0.0332	0.0437	0.0346	0.0303	0.0276	0.2714	0.0475	0.0538	0.06335	0.0659	0.0624	0.064	0.0487	0.2303	0.0137	0.05	0.0473	0.0598	0.0312	0.0309	0.0677	0.0357
chr4	139833296	139833297	0.9785	0.9764	0.9745	0.9755	0.9747	0.9761	0.9675	0.9566	0.4061	0.9739	0.9785	0.367775	0.8822	0.9493	0.907	0.9587	0.9426	0.8407	0.9766	0.9129	0.7816	0.9481	0.8879	0.867	0.821
chr4	140267187	140267188	0.924	0.8557	0.7993	0.9013	0.7826	0.9203	0.8474	0.891	0.905	0.8965	0.9068	0.9047	0.9186	0.9166	0.9001	0.9118	0.913	0.4794	0.9066	0.8697	0.9166	0.9327	0.9201	0.8883	0.9159
chr4	145481388	145481389	0.0061	0.0513	0.1226	0.0129	0.199	0.003	0.0025	0.0046	0.0045	0.0012	0.0056	0.0045	0.0042	0.0002	0.026	0.0059	0.0031	0.0106	0.0079	0.0101	0.0053	0.0054	0.0089	0.0119	0.0065
chr4	145761420	145761421	0.9784	0.978	0.979	0.9786	0.979	0.9779	0.9845	0.9779	0.7071	0.9746	0.983	0.9789	0.9791	0.9822	0.9696	0.9798	0.9818	0.9824	0.983	0.9813	0.9811	0.9778	0.9806	0.979	0.9798
chr4	152258315	152258316	0.9636	0.9618	0.9664	0.9687	0.9685	0.9628	0.9697	0.9535	0.9343	0.8041	0.8422	0.9517	0.8908	0.9502	0.9606	0.962	0.9682	0.9718	0.8328	0.6063	0.9633	0.9538	0.9517	0.9651	0.9593
chr4	153137231	153137232	0.8808	0.8603	0.8309	0.8449	0.8301	0.8601	0.6998	0.5758	0.6233	0.8151	0.819	0.84785	0.8401	0.8648	0.4876	0.522	0.7098	0.6078	0.4559	0.4532	0.8885	0.5386	0.8681	0.6372	0.3355
chr4	153152328	153152329	0.0097	0.0152	0.3157	0.0365	0.2515	0.013	0.0091	0.0127	0.0217	0.0275	0.0134	0.003675	0.0256	0.0116	0.1512	0.0249	0.0576	0.0638	0.0305	0.0267	0.0215	0.0183	0.0172	0.0365	0.0488
chr4	153152349	153152350	0.0128	0.0176	0.2845	0.0394	0.2075	0.0198	0.0022	0.0386	0.0342	0.0416	0.019	0.000825	0.0193	0.0092	0.1228	0.0166	0.0746	0.0476	0.0358	0.0242	0.018	0.0166	0.0163	0.0223	0.0484
chr4	153249631	153249632	0.0367	0.033	0.0384	0.0352	0.0417	0.0293	0.0671	0.0648	0.0477	0.2258	0.0403	0.031	0.0745	0.049	0.0484	0.0441	0.0562	0.0499	0.0509	0.0393	0.0327	0.0299	0.038	0.0342	0.0308
chr4	153249670	153249671	0.0137	0.012	0.0489	0.0398	0.0964	0.0105	0.0273	0.0171	0.0148	0.4229	0.0264	0.006475	0.0458	0.028	0.0428	0.0195	0.018	0.0107	0.0183	0.0177	0.0163	0.0075	0.0118	0.0121	0.009
chr4	153792596	153792597	0.1184	0.1826	0.1748	0.124	0.1915	0.0926	0.0667	0.1747	0.1927	0.1837	0.1437	0.29235	0.3216	0.2975	0.2574	0.2314	0.114	0.231	0.4572	0.2579	0.1664	0.2511	0.151	0.2516	0.345
chr4	153792637	153792638	0.015	0.0459	0.0366	0.0161	0.0399	0.0153	0.0162	0.0591	0.0547	0.0204	0.0161	0.026675	0.0356	0.0143	0.0618	0.0863	0.0163	0.0238	0.2196	0.0498	0.0245	0.0482	0.0176	0.0687	0.1208
chr4	155376702	155376703	0.0088	0.0096	0.0132	0.0097	0.0094	0.009	0.0102	0.0099	0.0103	0.0263	0.0103	0.003375	0.0106	0.0147	0.0348	0.3695	0.0071	0.0263	0.0048	0.0122	0.0042	0.0025	0.0055	0.0097	0.0065
chr4	155667174	155667175	0.0179	0.153	0.0344	0.0241	0.093	0.0153	0.0056	0.0054	0.019	0.0154	0.0149	0.01265	0.0168	0.0106	0.034	0.0658	0.0068	0.0293	0.0166	0.0196	0.0084	0.0096	0.0117	0.0438	0.0117
chr4	155757933	155757934	0.8349	0.8851	0.8828	0.8994	0.8947	0.8009	0.1893	0.8642	0.8803	0.907	0.8902	0.890625	0.8699	0.9126	0.885	0.9028	0.8728	0.8956	0.9041	0.9264	0.8891	0.9241	0.9245	0.8806	0.9119
chr4	156971596	156971597	0.0114	0.1563	0.0186	0.015	0.0615	0.0043	0.0037	0.0047	0.0039	0.0022	0.0041	0.005475	0.0073	0.0041	0.0079	0.0076	0.0082	0.0538	0.0249	0.0319	0.0114	0.0125	0.0168	0.0538	0.0105
chr4	156971606	156971607	0.0511	0.1794	0.075	0.0542	0.1252	0.0437	0.0355	0.0463	0.0529	0.0415	0.0412	0.04275	0.0393	0.0434	0.0512	0.0433	0.043	0.0776	0.075	0.0739	0.0496	0.0582	0.0576	0.0901	0.0527
chr4	156971613	156971614	0.1806	0.2996	0.2061	0.1899	0.2464	0.1776	0.1215	0.1587	0.2022	0.1938	0.159	0.122775	0.2078	0.1976	0.2008	0.1892	0.1425	0.1596	0.0962	0.1121	0.0839	0.1111	0.1325	0.1328	0.1367
chr4	158786541	158786542	0.0949	0.1745	0.6452	0.3149	0.6477	0.1481	0.0386	0.0824	0.1422	0.0867	0.0538	0.038475	0.0551	0.0403	0.0888	0.0564	0.0704	0.1577	0.1233	0.1749	0.08	0.0845	0.0804	0.1091	0.0859
chr4	159267575	159267576	0.8612	0.7953	0.8903	0.4756	0.8552	0.8655	0.8352	0.2334	0.0767	0.3976	0.8368	0.306975	0.8296	0.7439	0.2624	0.6875	0.1661	0.3628	0.4765	0.7666	0.2108	0.8025	0.4779	0.7785	0.6956
chr4	163332055	163332056	0.0172	0.1698	0.0813	0.038	0.1729	0.0121	0.0082	0.0009	0.0074	0.013	0.014	0.0055	0.0084	0.0087	0.0123	0.0088	0.0091	0.0233	0.0144	0.0404	0.0099	0.0178	0.0181	0.0319	0.0121
chr4	168652104	168652105	0.9629	0.9648	0.964	0.9633	0.9667	0.9596	0.9309	0.9495	0.9335	0.9295	0.9484	0.955125	0.9328	0.9322	0.9288	0.9642	0.8026	0.9594	0.9622	0.9286	0.9329	0.9619	0.3338	0.9577	0.8646
chr4	169274287	169274288	0.9136	0.9018	0.1709	0.8691	0.7358	0.9052	0.7262	0.8303	0.8978	0.8976	0.9068	0.839525	0.3041	0.86	0.8291	0.4871	0.7051	0.64	0.8758	0.8892	0.8774	0.8585	0.9043	0.6852	0.8181
chr4	169660229	169660230	0.1307	0.1457	0.1918	0.1576	0.2263	0.1138	0.0366	0.0604	0.07	0.5211	0.114	0.030575	0.0391	0.0344	0.0436	0.038	0.0598	0.0706	0.0772	0.0966	0.0793	0.0612	0.5461	0.1007	0.099
chr4	169660234	169660235	0.099	0.1432	0.1532	0.1131	0.1904	0.0678	0.0491	0.0812	0.047	0.2026	0.0921	0.06435	0.0514	0.0474	0.0432	0.0265	0.0804	0.078	0.0874	0.0973	0.0824	0.0634	0.461	0.1065	0.1022
chr4	173334343	173334344	0.0137	0.0115	0.0112	0.0158	0.0131	0.01	0.0159	0.0107	0.0157	0.2192	0.0121	0.007325	0.0158	0.0131	0.0094	0.0114	0.015	0.0057	0.0078	0.0033	0.0084	0.0048	0.0052	0.0034	0.0049
chr4	173334367	173334368	0.0064	0.0067	0.0075	0.0074	0.0078	0.0083	0.0113	0.0062	0.0082	0.3754	0.0086	0.0082	0.0172	0.005	0.0156	0.0087	0.0194	0.0015	0.0084	0.003	0.0129	0.0057	0.0146	0.0111	0.0083
chr4	173517161	173517162	0.0188	0.0308	0.0295	0.0153	0.0353	0.0153	0.0357	0.1528	0.0606	0.0379	0.0352	0.338975	0.1383	0.465	0.2064	0.047	0.0973	0.0585	0.2012	0.0416	0.0262	0.049	0.0189	0.1017	0.356
chr4	173538261	173538262	0.0127	0.0873	0.0372	0.0145	0.065	0.0064	0.0015	0.1302	0.0121	0.0119	0.0698	0.33265	0.0924	0.2846	0.1297	0.1892	0.0529	0.1464	0.1868	0.12	0.026	0.1148	0.0313	0.1652	0.3428
chr4	182448906	182448907	0.0339	0.1607	0.0364	0.0303	0.0347	0.0189	0.0033	0.0052	0.0208	0.0242	0.0181	0.014575	0.0129	0.0127	0.0143	0.0211	0.013	0.0775	0.0518	0.034	0.0148	0.0119	0.0256	0.0787	0.0115
chr4	182789320	182789321	0.9408	0.9512	0.9443	0.9488	0.9505	0.9413	0.9471	0.9319	0.9459	0.9231	0.9426	0.404925	0.8224	0.1626	0.936	0.9141	0.9426	0.9483	0.9572	0.9172	0.8237	0.852	0.9514	0.8815	0.9038
chr4	182894818	182894819	0.9041	0.8815	0.899	0.8975	0.9044	0.8984	0.9382	0.9257	0.8982	0.8699	0.8882	0.915175	0.9011	0.8837	0.8956	0.8965	0.9317	0.9287	0.9326	0.8973	0.5861	0.9302	0.2567	0.923	0.9099
